Node Number;X Location (m);Y Location (m);Z Location (m)
1;-0.15726;-0.8468;0.
2;0.96985;-0.91474;0.
3;12.803;4.60E+02;0.
4;13.144;0.92212;0.
5;0.59564;-0.32392;0.
6;0.7443;0.64688;0.
7;-16.366;1.183;0.
8;-20.079;0.58215;0.
9;-20.924;-0.16752;0.
10;-19.967;-0.94941;0.
11;-19.316;-1.494;0.
12;-13.748;-17.809;0.
13;-0.76824;-19.822;0.
14;-0.14561;-20.913;0.
15;0.57663;-21.083;0.
16;11.021;-18.598;0.
17;17.167;-13.595;0.
18;19.029;-0.604;0.
19;20.186;2.62E-01;0.
20;19.792;0.5768;0.
21;17.173;11.388;0.
22;11.979;16.289;0.
23;0.63446;19.191;0.
24;1.81E+02;20.186;0.
25;-0.61613;19.191;0.
26;-11.838;1.633;0.
27;-11.024;0.64084;0.
28;-13.485;0.20219;0.
29;-14.652;-0.41643;0.
30;-13.916;-10.748;0.
31;-0.80937;10.141;0.
32;-0.34565;11.303;0.
33;9.03E+02;12.061;0.
34;-0.85082;-1.342;0.
35;0.49968;12.616;0.
36;0.96441;11.486;0.
37;0.62079;-12.248;0.
38;0.23504;-1.477;0.
39;12.494;-0.45023;0.
40;12.987;0.46702;0.
41;0.12754;-0.45132;0.
42;-0.57131;9.58E+02;0.
43;-0.1795;0.39109;0.
44;0.43733;0.30053;0.
45;-0.87507;-0.74601;0.
46;-0.74848;-0.29188;0.
47;-0.37737;-10.382;0.
48;-0.27234;-15.384;0.
49;-0.26173;-15.949;10.
50;-0.37174;-11.036;10.
51;-0.7462;-0.34865;10.
52;-0.86915;-0.8103;10.
53;0.42672;0.25355;10.
54;-0.18572;0.34561;10.
55;-0.5727;4.55E+02;10.
56;0.12376;-0.51073;10.
57;12.803;0.4228;10.
58;12.367;-0.50962;10.
59;0.23919;-15.346;10.
60;0.62286;-12.868;10.
61;0.9491;11.156;10.
62;0.483;12.306;10.
63;-0.83426;-1.402;10.
64;7.72E+02;11.741;10.
65;-0.35483;10.971;10.
66;-0.81419;0.9789;10.
67;-13.771;-11.395;10.
68;-14.565;-0.47526;10.
69;-13.443;0.15358;10.
70;-11.027;0.59949;10.
71;-11.892;1.608;10.
72;-0.62774;18.989;10.
73;3.50E+01;2.;10.
74;0.62774;18.989;10.
75;11.948;16.039;10.
76;17.136;11.057;10.
77;19.696;0.53439;10.
78;19.993;-5.19E+02;10.
79;18.859;-0.66593;10.
80;17.003;-14.191;10.
81;10.844;-19.172;10.
82;0.56735;-21.783;10.
83;-0.14327;-21.604;10.
84;-0.75588;-20.457;10.
85;-13.527;-18.343;10.
86;-19.029;-15.513;10.
87;-19.802;-10.163;10.
88;-20.801;-0.22224;10.
89;-20.006;0.53983;10.
90;-16.358;11.507;10.
91;0.72923;0.60563;10.
92;0.58739;-0.38122;10.
93;13.005;0.88542;10.
94;12.645;-5.18E+01;10.
95;0.96204;-0.98181;10.
96;-0.15647;-0.91275;10.
97;-28.715;0.8686;10.
98;-24.538;1.726;10.
99;-1.788;24.089;10.
100;-0.94161;28.484;10.
101;2.16E-03;3.;10.
102;0.94161;28.484;10.
103;1.788;24.089;10.
104;24.538;1.726;10.
105;28.715;0.86859;10.
106;-28.304;-0.99432;10.
107;-2.999;-7.66E+02;10.
108;2.999;-7.66E+02;10.
109;28.304;-0.99432;10.
110;-0.96607;-30.234;10.
111;-18.162;-25.987;10.
112;-2.388;-18.159;10.
113;2.388;-18.159;10.
114;18.162;-25.987;10.
115;0.96607;-30.234;10.
116;-6.95E-12;-31.149;10.
117;28.539;-0.92488;0.88889
118;24.297;-17.597;0.88889
119;17.658;-24.253;0.88889
120;0.9285;-28.527;0.88889
121;2.33E-04;-3.;0.88889
122;-0.9285;-28.527;0.88889
123;-17.658;-24.253;0.88889
124;-24.297;-17.597;0.88889
125;-28.539;-0.92488;0.88889
126;28.546;-0.92271;17.778
127;24.324;-1.756;17.778
128;17.683;-24.235;17.778
129;0.92995;-28.522;17.778
130;4.66E-04;-3.;17.778
131;-0.92995;-28.522;17.778
132;-17.683;-24.235;17.778
133;-24.324;-1.756;17.778
134;-28.546;-0.92271;17.778
135;28.553;-0.92053;26.667
136;24.351;-17.523;26.667
137;17.707;-24.217;26.667
138;0.93139;-28.518;26.667
139;6.99E-04;-3.;26.667
140;-0.93139;-28.518;26.667
141;-17.707;-24.217;26.667
142;-24.351;-17.523;26.667
143;-28.553;-0.92053;26.667
144;2.856;-0.91836;35.556
145;24.377;-17.485;35.556
146;17.732;-24.199;35.556
147;0.93284;-28.513;35.556
148;9.32E-05;-3.;35.556
149;-0.93284;-28.513;35.556
150;-17.732;-24.199;35.556
151;-24.377;-17.485;35.556
152;-2.856;-0.91836;35.556
153;28.567;-0.91619;44.444
154;24.404;-17.448;44.444
155;17.756;-24.181;44.444
156;0.93429;-28.508;44.444
157;1.16E-03;-3.;44.444
158;-0.93429;-28.508;44.444
159;-17.756;-24.181;44.444
