Node Number;X Location (m);Y Location (m);Z Location (m)
1;3.805;0;0
2;-3.805;4.66E-16;0
3;3.6753;0.98481;0
4;3.2952;1.9025;0
5;2.6905;2.6905;0
6;1.9025;3.2952;0
7;0.98481;3.6753;0
8;2.33E-16;3.805;0
9;-0.98481;3.6753;0
10;-1.9025;3.2952;0
11;-2.6905;2.6905;0
12;-3.2952;1.9025;0
13;-3.6753;0.98481;0
14;-3.6753;-0.98481;0
15;-3.2952;-1.9025;0
16;-2.6905;-2.6905;0
17;-1.9025;-3.2952;0
18;-0.98481;-3.6753;0
19;2.33E-16;-3.805;0
20;0.98481;-3.6753;0
21;1.9025;-3.2952;0
22;2.6905;-2.6905;0
23;3.2952;-1.9025;0
24;3.6753;-0.98481;0
25;3.805;-4.31E-15;13.205
26;3.805;-3.08E-16;0.94321
27;3.805;-6.16E-16;1.8864
28;3.805;-9.24E-16;2.8296
29;3.805;-1.23E-15;3.7729
30;3.805;-1.54E-15;4.7161
31;3.805;-1.85E-15;5.6593
32;3.805;-2.16E-15;6.6025
33;3.805;-2.46E-15;7.5457
34;3.805;-2.77E-15;8.4889
35;3.805;-3.08E-15;9.4321
36;3.805;-3.39E-15;10.375
37;3.805;-3.70E-15;11.319
38;3.805;-4.00E-15;12.262
39;-3.805;4.66E-16;13.205
40;-3.805;4.66E-16;0.94321
41;-3.805;4.66E-16;1.8864
42;-3.805;4.66E-16;2.8296
43;-3.805;4.66E-16;3.7729
44;-3.805;4.66E-16;4.7161
45;-3.805;4.66E-16;5.6593
46;-3.805;4.66E-16;6.6025
47;-3.805;4.66E-16;7.5457
48;-3.805;4.66E-16;8.4889
49;-3.805;4.66E-16;9.4321
50;-3.805;4.66E-16;10.375
51;-3.805;4.66E-16;11.319
52;-3.805;4.66E-16;12.262
53;3.6753;0.98481;13.205
54;3.2952;1.9025;13.205
55;2.6905;2.6905;13.205
56;1.9025;3.2952;13.205
57;0.98481;3.6753;13.205
58;2.85E-15;3.805;13.205
59;-0.98481;3.6753;13.205
60;-1.9025;3.2952;13.205
61;-2.6905;2.6905;13.205
62;-3.2952;1.9025;13.205
63;-3.6753;0.98481;13.205
64;-3.6753;-0.98481;13.205
65;-3.2952;-1.9025;13.205
66;-2.6905;-2.6905;13.205
67;-1.9025;-3.2952;13.205
68;-0.98481;-3.6753;13.205
69;-2.30E-15;-3.805;13.205
70;0.98481;-3.6753;13.205
71;1.9025;-3.2952;13.205
72;2.6905;-2.6905;13.205
73;3.2952;-1.9025;13.205
74;3.6753;-0.98481;13.205
75;-2.33E-16;4.18E-32;17.01
76;-0.98481;1.77E-16;16.88
77;-1.9025;3.41E-16;16.5
78;-2.6905;4.82E-16;15.896
79;-3.2952;5.91E-16;15.107
80;-3.6753;6.59E-16;14.19
81;0.98481;-1.59E-15;16.88
82;1.9025;-3.07E-15;16.5
83;2.6905;-4.34E-15;15.896
84;3.2952;-5.32E-15;15.107
85;3.6753;-5.93E-15;14.19
86;-0.48381;0.85983;16.88
87;-1.4184;3.4244;14.065
88;1.4184;3.4244;14.065
89;-3.0585;0.87928;15.291
90;-2.8496;2.1128;14.581
91;3.4552;1.204;14.249
92;1.3616;0.98146;16.62
93;2.7703;1.044;15.595
94;-2.4251;1.1431;15.905
