Node Number;X Location (m);Y Location (m);Z Location (m)
1;0.5;-2.4848;-10.718
2;0.5;-2.471;-10.633
3;1.7;-2.471;-10.633
4;1.7;-2.4848;-10.718
5;1.7;-2.3956;-10.789
6;1.7;-2.4533;-10.989
7;1.7;-2.3554;-10.649
8;1.7;-2.401;-10.518
9;1.7;-2.5371;-10.516
10;1.7;-2.5907;-11.466
11;1.7;-2.5907;-11.092
12;1.7;-2.5907;-10.863
13;1.7;-2.5907;-10.723
14;1.7;-2.5907;-10.616
25;0.69485;-2.5907;-10.723
26;0.89633;-2.5907;-10.723
27;1.099;-2.5907;-10.723
28;1.3012;-2.5907;-10.723
29;1.5031;-2.5907;-10.723
30;0.69618;-2.5907;-10.863
31;0.89773;-2.5907;-10.863
32;1.1002;-2.5907;-10.863
33;1.3017;-2.5907;-10.863
34;1.5029;-2.5907;-10.863
35;0.69835;-2.5907;-11.092
36;0.90003;-2.5907;-11.092
37;1.1023;-2.5907;-11.092
38;1.3025;-2.5907;-11.092
39;1.5025;-2.5907;-11.092
40;0.5;-2.5907;-11.092
41;0.5;-2.5907;-10.863
42;0.5;-2.5907;-10.723
43;1.5019;-2.5907;-11.466
44;1.3038;-2.5907;-11.466
45;1.1057;-2.5907;-11.466
46;0.90378;-2.5907;-11.466
47;0.70189;-2.5907;-11.466
48;0.5;-2.5907;-11.466
49;0.5;-2.5907;-10.616
50;0.69384;-2.5907;-10.616
51;0.89526;-2.5907;-10.616
52;1.098;-2.5907;-10.616
53;1.3008;-2.5907;-10.616
54;1.5033;-2.5907;-10.616
55;1.5044;-2.401;-10.518
56;1.5038;-2.5371;-10.516
57;1.2995;-2.401;-10.518
58;1.3002;-2.5371;-10.516
59;1.0988;-2.401;-10.518
60;1.0984;-2.5371;-10.516
61;0.89843;-2.401;-10.518
62;0.89668;-2.5371;-10.516
63;0.69359;-2.401;-10.518
64;0.69373;-2.5371;-10.516
65;0.5;-2.401;-10.518
66;0.5;-2.3554;-10.649
67;0.5;-2.5371;-10.516
68;1.505;-2.3554;-10.649
69;1.2987;-2.3554;-10.649
70;1.0993;-2.3554;-10.649
71;0.90021;-2.3554;-10.649
72;0.69345;-2.3554;-10.649
73;1.5037;-2.4533;-10.989
74;1.5044;-2.3956;-10.789
75;1.3008;-2.4533;-10.989
76;1.2996;-2.3956;-10.789
