Node Number;X Location (m);Y Location (m);Z Location (m)
1;3.805;0;0
2;-3.805;4.66E-16;0
3;1.7186;3.3948;0
4;-2.2523;3.0668;0
5;-1.7186;-3.3948;0
6;2.2523;-3.0668;0
7;3.805;-4.31E-15;13.205
8;3.805;-1.43E-15;4.3757
9;3.805;-2.89E-15;8.8408
10;-3.805;4.66E-16;13.205
11;-3.805;4.66E-16;4.3757
12;-3.805;4.66E-16;8.8408
13;1.7199;3.3941;13.205
14;-2.2537;3.0658;13.205
15;-1.7199;-3.3941;13.205
16;2.2537;-3.0658;13.205
17;-2.33E-16;4.18E-32;17.01
18;-2.7484;4.93E-16;15.836
19;2.7484;-4.43E-15;15.836
20;-2.5705;2.3463;14.743
21;-0.31334;3.7921;13.205
22;0.82457;2.6597;15.798
23;-1.2205;2.279;15.997
24;2.5705;-2.3463;14.743
25;0.31334;-3.7921;13.205
26;1.2596;-2.2868;15.973
27;-0.80516;-2.6255;15.839
28;-0.92063;-3.6919;10.23
29;-3.051;-2.2736;10.562
30;-2.7655;-2.6134;7.332
31;-2.297;-3.0335;3.564
32;0.23307;-3.7979;6.8161
33;2.2621;-3.0595;10.292
34;2.9046;-2.4579;6.6666
35;1.8853;-3.3051;3.0603
36;0.92072;3.6919;10.23
37;3.0511;2.2735;10.563
38;2.7657;2.6133;7.3322
39;2.2971;3.0334;3.5641
40;-0.23288;3.7979;6.8162
41;-2.2621;3.0596;10.292
42;-2.9046;2.4579;6.6666
43;-1.8852;3.3051;3.0604
44;0;0;0
45;-5.28E-02;0.11953;12.844
46;-0.28197;-4.49E-02;5.3699
47;-0.12415;0.22817;8.6271
48;3.2417;1.9923;0
49;3.3947;-1.7187;0
50;3.805;-7.14E-16;2.1878
51;3.2902;-1.9111;1.5302
52;3.4072;1.6937;1.782
53;1.9025;0;0
54;-3.3947;1.7187;0
55;-3.2417;-1.9923;0
56;-3.805;4.66E-16;2.1878
57;-3.4072;-1.6938;1.782
58;-3.2902;1.9111;1.5302
59;-1.9025;2.33E-16;0
60;-0.3132;3.7921;0
61;2.0159;3.2271;1.782
62;-9.46E-02;3.8038;1.5302
63;0.85929;1.6974;0
64;-2.0722;3.1913;1.5302
65;-1.1261;1.5334;0
66;0.3132;-3.7921;0
67;-2.0159;-3.2271;1.782
68;9.46E-02;-3.8038;1.5302
69;-0.85929;-1.6974;0
70;2.0722;-3.1912;1.5302
71;1.1261;-1.5334;0
72;3.805;-3.60E-15;11.023
73;3.2421;1.9917;13.205
74;3.3951;-1.7179;13.205
75;3.531;-5.70E-15;14.623
76;3.4827;-1.2817;14.045
77;3.3975;-1.7133;11.748
78;3.6116;1.1976;11.884
79;1.8761;5.98E-02;13.024
80;3.805;-2.16E-15;6.6082
81;3.5728;-1.3088;5.5211
82;3.2902;-1.9111;3.718
83;3.5356;1.4062;5.8539
84;3.4072;1.6937;3.9699
85;1.9025;-7.14E-16;2.1878
86;1.7615;-2.24E-02;4.8728
87;3.3975;-1.7133;9.5662
88;3.5728;-1.3088;7.7537
89;3.6116;1.1976;9.7016
90;3.5356;1.4062;8.0865
91;1.8761;5.98E-02;10.842
92;1.7615;-2.24E-02;7.1053
93;1.8404;0.11408;8.7339
94;-3.805;4.66E-16;11.023
